Node,X,Y,U1,U2,S11,S22,S12
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.480247497558593750e+00,2.544074296951293945e+00,1.990747094154357910e+00
2.000000000000000000e+00,1.000000014901161194e-01,0.000000000000000000e+00,3.674773818573839890e-10,2.464734527585221713e-10,7.902766704559326172e+00,6.191380620002746582e-01,1.102691054344177246e+00
3.000000000000000000e+00,2.000000029802322388e-01,0.000000000000000000e+00,6.479869418818395843e-10,4.012870591374451124e-10,5.957088947296142578e+00,2.212936133146286011e-01,3.307348787784576416e-01
4.000000000000000000e+00,3.000000119209289551e-01,0.000000000000000000e+00,8.995880707018955036e-10,5.318616658200880920e-10,5.298935890197753906e+00,5.104542896151542664e-02,2.008137255907058716e-01
5.000000000000000000e+00,4.000000059604644775e-01,0.000000000000000000e+00,1.139290661811287464e-09,6.441344679863902911e-10,5.040052413940429688e+00,2.099113725125789642e-02,1.142246797680854797e-01
6.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.372542857147607265e-09,7.454986628019355521e-10,4.900586605072021484e+00,7.635141257196664810e-03,7.283511757850646973e-02
7.000000000000000000e+00,6.000000238418579102e-01,0.000000000000000000e+00,1.602056598493106776e-09,8.395271700045725538e-10,4.820779323577880859e+00,3.301192307844758034e-03,4.682871699333190918e-02
8.000000000000000000e+00,6.999999880790710449e-01,0.000000000000000000e+00,1.829319806745388632e-09,9.287002833424651271e-10,4.773055076599121094e+00,1.753630349412560463e-03,2.991216629743576050e-02
9.000000000000000000e+00,8.000000119209289551e-01,0.000000000000000000e+00,2.055252412702657239e-09,1.014746398020349716e-09,4.745052814483642578e+00,1.564703532494604588e-03,1.812651939690113068e-02
1.000000000000000000e+01,8.999999761581420898e-01,0.000000000000000000e+00,2.280451383285253542e-09,1.098958368750402315e-09,4.729771137237548828e+00,1.977353822439908981e-03,9.606500156223773956e-03
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.505319507406511548e-09,1.182335784832844183e-09,4.723033905029296875e+00,2.671614754945039749e-03,3.252922557294368744e-03
